Model,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Fujifilm FinePix A820,3296.0,2304.0,8.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
Fujifilm FinePix A900,3488.0,2048.0,9.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
Fujifilm FinePix A920,3488.0,2592.0,9.0,39.0,156.0,60.0,10.0,10.0,206.0,98.0,169.0
Fujifilm FinePix E500 Zoom,2304.0,1600.0,4.0,28.0,91.0,60.0,6.0,16.0,226.0,101.0,169.0
Fujifilm FinePix E510 Zoom,2592.0,2048.0,5.0,28.0,91.0,60.0,2.0,16.0,226.0,101.0,169.0
Fujifilm FinePix E550 Zoom,4048.0,2048.0,6.0,32.0,130.0,60.0,7.0,16.0,260.0,105.0,169.0
Fujifilm FinePix E900 Zoom,3488.0,2592.0,9.0,32.0,128.0,60.0,7.0,16.0,260.0,102.0,169.0
Fujifilm FinePix F10 Zoom,2848.0,2048.0,6.0,36.0,108.0,60.0,8.0,16.0,190.0,92.0,179.0
Fujifilm FinePix F11 Zoom,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,16.0,190.0,92.0,199.0
Fujifilm FinePix F20 Zoom,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,190.0,94.0,169.0
Fujifilm FinePix F30 Zoom,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,185.0,93.0,169.0
Fujifilm FinePix F31 fd,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,26.0,185.0,93.0,199.0
Fujifilm FinePix F401 Zoom,2304.0,1600.0,2.0,38.0,114.0,60.0,10.0,16.0,200.0,85.0,169.0
Fujifilm FinePix F402,2304.0,1600.0,2.0,39.0,39.0,50.0,6.0,16.0,145.0,77.0,199.0
Fujifilm FinePix F40 fd,3296.0,2304.0,8.0,36.0,108.0,45.0,7.0,25.0,181.0,96.0,199.0
Fujifilm FinePix F410 Zoom,2816.0,2048.0,3.0,38.0,114.0,60.0,10.0,16.0,205.0,85.0,169.0
Fujifilm FinePix F420 Zoom,2816.0,2048.0,3.0,36.0,108.0,60.0,8.0,16.0,180.0,77.0,169.0
Fujifilm FinePix F440 Zoom,2304.0,1600.0,3.0,38.0,130.0,60.0,9.0,16.0,180.0,75.0,169.0
Fujifilm FinePix F450 Zoom,2592.0,2048.0,5.0,38.0,130.0,60.0,9.0,16.0,180.0,75.0,199.0
Fujifilm FinePix F455 Zoom,2592.0,2048.0,5.0,38.0,130.0,60.0,9.0,16.0,180.0,93.0,199.0
Fujifilm FinePix F470 Zoom,2816.0,2048.0,6.0,35.0,105.0,70.0,10.0,16.0,150.0,92.0,169.0
Fujifilm FinePix F480 Zoom,3264.0,2304.0,8.0,28.0,112.0,40.0,5.0,12.0,170.0,96.0,169.0
Fujifilm FinePix F50 fd,4000.0,2848.0,12.0,35.0,105.0,45.0,7.0,25.0,205.0,93.0,199.0
Fujifilm FinePix F601Z,2832.0,2048.0,3.0,36.0,108.0,60.0,20.0,16.0,280.0,72.0,169.0
Fujifilm FinePix F610,4048.0,2848.0,6.0,35.0,105.0,60.0,9.0,16.0,205.0,72.0,169.0
Fujifilm FinePix F650 Zoom,2816.0,2048.0,6.0,36.0,180.0,60.0,3.0,32.0,200.0,105.0,169.0
Fujifilm FinePix F700,2832.0,2048.0,3.0,35.0,105.0,60.0,9.0,16.0,205.0,108.0,169.0
Fujifilm FinePix F710,2832.0,2048.0,3.0,32.0,130.0,60.0,8.0,16.0,225.0,110.0,169.0
Fujifilm FinePix F810 Zoom,4048.0,2848.0,6.0,32.0,130.0,60.0,7.0,16.0,250.0,110.0,169.0
Fujifilm FinePix IS-1,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,169.0
Fujifilm FinePix M603,2832.0,2048.0,3.0,38.0,76.0,60.0,20.0,16.0,280.0,65.0,169.0
Fujifilm FinePix S20 Pro,2832.0,2016.0,6.0,35.0,210.0,50.0,1.0,16.0,597.0,121.0,1699.0
Fujifilm FinePix S3000 Z,2048.0,1600.0,3.0,38.0,228.0,80.0,10.0,16.0,400.0,100.0,229.0
Fujifilm FinePix S3500 Zoom,2272.0,1600.0,4.0,39.0,234.0,80.0,10.0,16.0,385.0,100.0,229.0
Fujifilm FinePix S5000 Z,2816.0,2048.0,3.0,37.0,370.0,90.0,10.0,16.0,430.0,113.0,229.0
Fujifilm FinePix S5100 Zoom,2272.0,1600.0,4.0,37.0,370.0,90.0,10.0,16.0,387.0,113.0,229.0
Fujifilm FinePix S5200 Zoom,2592.0,2048.0,5.0,38.0,380.0,90.0,1.0,16.0,470.0,114.0,229.0
Fujifilm FinePix S5700 Zoom,3072.0,2304.0,7.0,38.0,380.0,30.0,10.0,27.0,406.0,106.0,229.0
Fujifilm FinePix S6000 fd,2848.0,2048.0,6.0,28.0,300.0,40.0,10.0,10.0,700.0,131.0,399.0
Fujifilm FinePix S602Z,2832.0,2048.0,3.0,35.0,210.0,50.0,1.0,16.0,590.0,121.0,399.0
Fujifilm FinePix S602Z Pro,2832.0,2048.0,3.0,35.0,210.0,50.0,1.0,340.0,590.0,121.0,1699.0
Fujifilm FinePix S7000 Z,4048.0,2848.0,6.0,35.0,210.0,50.0,1.0,16.0,590.0,121.0,229.0
Fujifilm FinePix S8000 fd,3264.0,2304.0,8.0,27.0,486.0,70.0,10.0,58.0,510.0,111.0,399.0
Fujifilm FinePix S9000 Z,3488.0,2592.0,9.0,28.0,300.0,50.0,1.0,16.0,745.0,128.0,229.0
Fujifilm FinePix S9100,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,229.0
Fujifilm FinePix V10 Zoom,2592.0,2048.0,5.0,36.0,130.0,60.0,9.0,16.0,185.0,83.0,179.0
Fujifilm FinePix Z1,2592.0,2048.0,5.0,36.0,108.0,60.0,8.0,16.0,170.0,90.0,179.0
Fujifilm FinePix Z10  fd,3072.0,2304.0,7.0,38.0,114.0,60.0,8.0,54.0,160.0,91.0,399.0
Fujifilm FinePix Z2,2592.0,2048.0,5.0,36.0,108.0,60.0,8.0,16.0,170.0,90.0,179.0
Fujifilm FinePix Z3,2592.0,2048.0,5.0,36.0,108.0,60.0,8.0,10.0,170.0,89.0,179.0
Fujifilm FinePix IS Pro,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,920.0,147.0,1699.0
Fujifilm MX-1200,1280.0,640.0,1.0,38.0,38.0,70.0,10.0,4.0,240.0,110.0,169.0
Fujifilm MX-1400,1280.0,640.0,1.0,38.0,114.0,80.0,10.0,4.0,390.0,74.0,169.0
Fujifilm MX-1500,1280.0,640.0,1.0,38.0,38.0,50.0,10.0,4.0,250.0,104.0,169.0
Fujifilm MX-1700,1280.0,640.0,1.0,38.0,114.0,80.0,20.0,8.0,270.0,79.0,169.0
Fujifilm MX-2700,1800.0,1280.0,2.0,35.0,35.0,50.0,9.0,4.0,260.0,80.0,169.0
Fujifilm MX-2900 Zoom,1800.0,1280.0,2.0,35.0,105.0,90.0,25.0,8.0,385.0,130.0,179.0
Fujifilm FinePix 4700 Zoom,2400.0,1280.0,2.0,36.0,108.0,80.0,20.0,16.0,280.0,78.0,169.0
Fujifilm MX-500,1280.0,640.0,1.0,35.0,35.0,50.0,9.0,2.0,220.0,123.0,169.0
Fujifilm MX-600 Zoom,1280.0,640.0,1.0,38.0,115.0,90.0,25.0,4.0,0.0,122.0,179.0
Fujifilm MX-700,1280.0,640.0,1.0,35.0,35.0,50.0,9.0,2.0,260.0,80.0,169.0
Fujifilm FinePix S1 Pro,3040.0,2340.0,3.0,0.0,0.0,0.0,0.0,16.0,820.0,148.0,1699.0
Fujifilm FinePix S2 Pro,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,850.0,142.0,1699.0
Fujifilm FinePix S3 Pro,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,930.0,148.0,1699.0
Fujifilm FinePix S5 Pro,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,920.0,147.0,1699.0
HP Photosmart 320,1632.0,640.0,2.0,38.0,38.0,75.0,0.0,8.0,240.0,113.0,179.0
HP Photosmart 435,2048.0,640.0,3.0,36.0,36.0,85.0,85.0,16.0,190.0,117.0,179.0
HP Photosmart 620,1632.0,640.0,2.0,36.0,102.0,20.0,20.0,8.0,280.0,120.0,179.0
HP Photosmart 635,1636.0,640.0,2.0,38.0,114.0,80.0,10.0,16.0,240.0,240.0,179.0
HP Photosmart 715,2048.0,640.0,3.0,34.0,102.0,60.0,20.0,16.0,320.0,127.0,179.0
HP Photosmart 720,2048.0,640.0,3.0,34.0,102.0,20.0,20.0,16.0,340.0,118.0,179.0
HP Photosmart 735,2080.0,0.0,3.0,38.0,114.0,0.0,0.0,16.0,290.0,105.0,179.0
HP Photosmart 812,2272.0,1136.0,3.0,37.0,111.0,50.0,14.0,0.0,245.0,95.0,179.0
HP Photosmart 850,2272.0,1136.0,3.0,37.0,300.0,50.0,10.0,0.0,489.0,114.0,179.0
HP Photosmart 935,2608.0,1296.0,5.0,37.0,111.0,50.0,14.0,32.0,260.0,97.0,179.0
HP Photosmart 945,2608.0,1296.0,5.0,37.0,300.0,50.0,10.0,32.0,500.0,123.0,179.0
HP Photosmart C20,1152.0,576.0,1.0,39.0,39.0,60.0,20.0,4.0,300.0,127.0,179.0
HP Photosmart C200,1152.0,640.0,1.0,35.0,35.0,60.0,20.0,8.0,300.0,126.0,179.0
HP Photosmart C215,1280.0,640.0,1.0,43.0,43.0,60.0,10.0,4.0,290.0,124.0,179.0
HP Photosmart C30,1152.0,576.0,1.0,35.0,35.0,60.0,20.0,4.0,300.0,126.0,179.0
HP Photosmart C315,1600.0,640.0,1.0,38.0,38.0,30.0,30.0,8.0,280.0,128.0,179.0
HP Photosmart C500,1600.0,640.0,1.0,38.0,115.0,0.0,0.0,16.0,410.0,153.0,179.0
HP Photosmart C618,1600.0,800.0,1.0,34.0,108.0,50.0,10.0,16.0,630.0,144.0,179.0
HP Photosmart C912,1600.0,800.0,1.0,34.0,108.0,50.0,10.0,16.0,150.0,99.0,179.0
HP Photosmart E317,2560.0,2048.0,5.0,35.0,35.0,60.0,10.0,16.0,231.0,95.0,179.0
HP Photosmart E327,2560.0,2048.0,5.0,35.0,35.0,60.0,0.0,16.0,170.0,96.0,179.0
HP Photosmart E337,2576.0,0.0,5.0,36.0,36.0,100.0,0.0,16.0,170.0,96.0,179.0
HP Photosmart M22,2320.0,1600.0,4.0,36.0,36.0,0.0,0.0,16.0,172.0,109.0,179.0
HP Photosmart M23,2320.0,1600.0,4.0,36.0,36.0,0.0,10.0,16.0,172.0,109.0,179.0
HP Photosmart M307,2080.0,1280.0,3.0,40.0,111.0,80.0,10.0,16.0,177.0,107.0,179.0
HP Photosmart M407,2320.0,1280.0,4.0,40.0,111.0,50.0,10.0,16.0,190.0,95.0,179.0
HP Photosmart M417,2576.0,2048.0,5.0,36.0,108.0,50.0,12.0,16.0,181.0,96.0,179.0
HP Photosmart M425,2576.0,2080.0,5.0,38.0,114.0,50.0,12.0,32.0,172.0,109.0,179.0
HP Photosmart M437,2576.0,0.0,5.0,38.0,114.0,50.0,10.0,16.0,190.0,95.0,179.0
HP Photosmart M517,2576.0,2048.0,5.0,36.0,108.0,80.0,12.0,16.0,190.0,97.0,179.0
HP Photosmart M525,2800.0,2288.0,6.0,38.0,114.0,50.0,12.0,16.0,192.0,96.0,179.0
HP Photosmart M527,2800.0,2288.0,6.0,38.0,114.0,50.0,12.0,16.0,227.0,99.0,179.0
HP Photosmart M537,2848.0,0.0,6.0,38.0,114.0,50.0,0.0,32.0,157.0,90.0,179.0
HP Photosmart Mz67,3264.0,0.0,8.0,35.0,210.0,0.0,14.0,32.0,157.0,90.0,179.0
HP Photosmart R507,2320.0,1280.0,4.0,35.0,105.0,50.0,6.0,32.0,205.0,96.0,179.0
HP Photosmart R607,2320.0,1280.0,4.0,35.0,105.0,50.0,14.0,32.0,205.0,96.0,179.0
HP Photosmart R707,2608.0,1296.0,5.0,39.0,117.0,50.0,14.0,32.0,150.0,93.0,179.0
HP Photosmart R717,2864.0,2592.0,6.0,39.0,117.0,50.0,10.0,32.0,150.0,93.0,179.0
HP Photosmart R725,2864.0,2592.0,6.0,39.0,118.0,50.0,10.0,32.0,136.0,94.0,179.0
HP Photosmart R727,2864.0,2592.0,6.0,39.0,118.0,50.0,5.0,32.0,190.0,91.0,179.0
HP Photosmart R742,3096.0,0.0,7.0,36.0,108.0,50.0,3.0,32.0,190.0,91.0,179.0
HP Photosmart R817,2592.0,2048.0,5.0,36.0,180.0,20.0,3.0,32.0,205.0,100.0,179.0
HP Photosmart R818,2592.0,2048.0,5.0,36.0,180.0,20.0,1.0,32.0,200.0,96.0,179.0
HP Photosmart R837,3112.0,0.0,7.0,39.0,118.0,50.0,12.0,32.0,227.0,105.0,179.0
HP Photosmart R927,3296.0,2592.0,8.0,35.0,105.0,50.0,10.0,,,,179.0
HP Photosmart R937,3298.0,0.0,8.0,39.0,118.0,50.0,,,,,179.0
JVC GC-QX3HD,2032.0,1024.0,3.0,37.0,86.0,50.0,2.0,8.0,320.0,111.0,14.0
JVC GC-QX5HD,2032.0,1024.0,3.0,37.0,86.0,50.0,2.0,16.0,320.0,111.0,14.0
Kodak C300,2096.0,0.0,3.0,37.0,37.0,80.0,0.0,16.0,198.0,104.0,129.0
Kodak C310,2336.0,2313.0,4.0,35.0,35.0,85.0,85.0,16.0,154.0,103.0,129.0
Kodak C330,2336.0,2304.0,4.0,34.0,102.0,60.0,13.0,16.0,180.0,91.0,129.0
Kodak C340,2576.0,0.0,5.0,34.0,102.0,60.0,13.0,16.0,198.0,92.0,129.0
Kodak C360,2690.0,2569.0,5.0,34.0,102.0,60.0,7.0,32.0,170.0,84.0,129.0
Kodak C433,2304.0,2048.0,4.0,36.0,108.0,60.0,10.0,16.0,180.0,91.0,126.0
Kodak C513,2572.0,2048.0,5.0,36.0,108.0,60.0,13.0,16.0,188.0,91.0,126.0
Kodak C533,2576.0,2048.0,5.0,37.0,111.0,60.0,10.0,16.0,200.0,91.0,126.0
Kodak C613,2848.0,2048.0,6.0,36.0,108.0,60.0,13.0,16.0,187.0,91.0,126.0
Kodak C643,2848.0,2304.0,6.0,36.0,108.0,60.0,13.0,22.0,195.0,92.0,126.0
Kodak C653,2848.0,2304.0,6.0,36.0,108.0,60.0,10.0,22.0,195.0,89.0,126.0
Kodak C663,2832.0,2304.0,6.0,34.0,102.0,60.0,5.0,32.0,190.0,85.0,126.0
Kodak C743,3072.0,2304.0,7.0,37.0,111.0,60.0,13.0,32.0,195.0,92.0,126.0
Kodak C763,3072.0,2592.0,7.0,35.0,105.0,60.0,5.0,32.0,180.0,90.0,126.0
Kodak C875,3264.0,2560.0,8.0,37.0,185.0,60.0,10.0,32.0,225.0,91.0,126.0
Kodak CX4200,1632.0,0.0,2.0,37.0,37.0,75.0,20.0,16.0,250.0,109.0,129.0
Kodak CX4230,1632.0,0.0,2.0,36.0,108.0,50.0,10.0,16.0,280.0,115.0,129.0
Kodak CX4300,2080.0,0.0,3.0,38.0,76.0,30.0,15.0,16.0,250.0,109.0,126.0
Kodak CX6200,1632.0,0.0,2.0,37.0,37.0,50.0,50.0,8.0,195.0,104.0,129.0
Kodak CX6230,1632.0,0.0,2.0,36.0,108.0,50.0,50.0,16.0,225.0,104.0,129.0
Kodak CX6330,2032.0,0.0,3.0,37.0,111.0,60.0,60.0,16.0,225.0,103.0,126.0
Kodak CX7220,0.0,0.0,2.0,37.0,78.0,50.0,60.0,16.0,195.0,104.0,129.0
Kodak CX7300,2096.0,0.0,3.0,37.0,37.0,80.0,0.0,16.0,162.0,104.0,126.0
Kodak CX7330,2032.0,0.0,3.0,37.0,111.0,60.0,13.0,16.0,225.0,103.0,126.0
Kodak CX7430,2408.0,0.0,4.0,34.0,102.0,60.0,10.0,16.0,198.0,103.0,126.0
Kodak CX7530,2560.0,0.0,4.0,34.0,102.0,60.0,10.0,32.0,240.0,103.0,126.0
Kodak DC200,1152.0,640.0,0.0,39.0,39.0,70.0,0.0,4.0,400.0,131.0,129.0
Kodak DC200 plus,1152.0,640.0,0.0,39.0,39.0,70.0,0.0,4.0,400.0,131.0,129.0
Kodak DC210 plus,1152.0,640.0,0.0,29.0,58.0,50.0,20.0,8.0,400.0,131.0,129.0
Kodak DC215,1152.0,640.0,0.0,29.0,58.0,50.0,20.0,4.0,320.0,115.0,129.0
Kodak DC220,1152.0,640.0,0.0,29.0,58.0,50.0,20.0,8.0,550.0,118.0,129.0
Kodak DC240,1280.0,640.0,1.0,39.0,117.0,50.0,25.0,8.0,420.0,133.0,129.0
Kodak DC260,1536.0,768.0,1.0,38.0,115.0,30.0,0.0,8.0,550.0,118.0,129.0
Kodak DC265,1536.0,768.0,1.0,38.0,115.0,30.0,0.0,16.0,550.0,118.0,129.0
Kodak DC280,1760.0,896.0,2.0,30.0,60.0,50.0,25.0,20.0,420.0,133.0,129.0
Kodak DC290,1792.0,1440.0,2.0,38.0,115.0,30.0,0.0,20.0,550.0,118.0,129.0
Kodak DC3200,1152.0,576.0,0.0,39.0,39.0,60.0,0.0,2.0,240.0,113.0,129.0
Kodak DC3400,1760.0,896.0,2.0,38.0,76.0,50.0,25.0,20.0,420.0,133.0,129.0
Kodak DC3800,1760.0,896.0,2.0,33.0,33.0,50.0,20.0,0.0,200.0,95.0,129.0
Kodak DC4800,2160.0,1800.0,3.0,28.0,84.0,50.0,20.0,16.0,320.0,120.0,129.0
Kodak DC5000,1760.0,896.0,2.0,30.0,60.0,50.0,20.0,16.0,459.0,140.0,126.0
Kodak DCS 14n,4536.0,3024.0,13.0,0.0,0.0,0.0,0.0,0.0,1000.0,131.0,129.0
Kodak DCS315,1520.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1800.0,137.0,126.0
Kodak DCS330,2008.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1080.0,137.0,126.0
Kodak DCS420,1524.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1700.0,170.0,129.0
Kodak DCS460,3060.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1700.0,170.0,129.0
Kodak DCS520,1728.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1650.0,161.0,129.0
Kodak DCS560,3040.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1650.0,161.0,129.0
Kodak DCS620,1728.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1580.0,194.0,129.0
Kodak DCS620x,1728.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1580.0,194.0,129.0
Kodak DCS660,3040.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1580.0,194.0,129.0
Kodak DCS720x,1728.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1580.0,194.0,129.0
Kodak DCS760,3032.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1860.0,194.0,129.0
Kodak DCS SLR/c,4500.0,3000.0,13.0,0.0,0.0,0.0,0.0,0.0,1000.0,137.0,129.0
Kodak DCS SLR/n,4500.0,3000.0,13.0,0.0,0.0,0.0,0.0,0.0,1000.0,131.0,129.0
Kodak DX3215,1280.0,0.0,1.0,30.0,60.0,75.0,22.0,8.0,260.0,121.0,129.0
Kodak DX3500,1800.0,900.0,2.0,38.0,38.0,75.0,22.0,8.0,225.0,120.0,129.0
Kodak DX3600,1800.0,900.0,2.0,35.0,70.0,50.0,28.0,8.0,250.0,120.0,129.0
Kodak DX3700,2160.0,0.0,3.0,37.0,37.0,50.0,15.0,8.0,250.0,150.0,129.0
Kodak DX3900,2160.0,1800.0,3.0,35.0,70.0,50.0,7.0,8.0,260.0,116.0,129.0
Kodak DX4330,2160.0,1800.0,3.0,38.0,114.0,60.0,7.0,16.0,260.0,111.0,126.0
Kodak DX4530,2580.0,0.0,5.0,38.0,114.0,60.0,7.0,32.0,210.0,111.0,126.0
Kodak DX4900,2448.0,2160.0,4.0,35.0,70.0,50.0,7.0,16.0,260.0,116.0,129.0
Kodak DX6340,2032.0,0.0,3.0,36.0,144.0,50.0,10.0,16.0,280.0,109.0,126.0
Kodak DX6440,2304.0,0.0,4.0,33.0,132.0,50.0,10.0,16.0,270.0,109.0,129.0
Kodak DX6490,2304.0,0.0,4.0,38.0,380.0,60.0,12.0,16.0,380.0,100.0,129.0
Kodak DX7440,2304.0,2048.0,4.0,33.0,132.0,50.0,10.0,32.0,270.0,100.0,129.0
Kodak DX7590,2576.0,2576.0,5.0,38.0,380.0,60.0,12.0,32.0,400.0,97.0,126.0
Kodak DX7630,2872.0,0.0,6.0,39.0,117.0,60.0,7.0,32.0,270.0,100.0,126.0
Kodak Easyshare One,2304.0,0.0,4.0,36.0,100.0,60.0,10.0,256.0,275.0,103.0,296.0
Kodak LS420,1752.0,876.0,2.0,38.0,38.0,80.0,0.0,8.0,160.0,109.0,129.0
Kodak LS443,2448.0,2160.0,4.0,35.0,105.0,70.0,13.0,16.0,260.0,109.0,129.0
Kodak LS633,2041.0,0.0,3.0,37.0,111.0,60.0,13.0,16.0,260.0,114.0,126.0
Kodak LS743,2304.0,0.0,4.0,36.0,100.0,60.0,12.0,16.0,220.0,108.0,126.0
Kodak LS753,2569.0,0.0,5.0,36.0,108.0,60.0,12.0,32.0,220.0,108.0,126.0
Kodak LS755,2592.0,2288.0,5.0,36.0,108.0,70.0,5.0,16.0,210.0,95.0,126.0
Kodak M753,3056.0,2592.0,7.0,37.0,111.0,40.0,7.0,16.0,165.0,93.0,126.0
Kodak M853,3296.0,2592.0,8.0,37.0,111.0,40.0,7.0,16.0,165.0,93.0,146.0
Kodak M873,3264.0,2592.0,8.0,38.0,114.0,70.0,10.0,32.0,160.0,92.0,146.0
Kodak M883,3280.0,0.0,8.0,38.0,114.0,70.0,10.0,64.0,166.0,92.0,146.0
Kodak mc3,640.0,0.0,0.0,37.0,37.0,70.0,0.0,16.0,198.0,105.0,129.0
Kodak P712,3072.0,2592.0,7.0,36.0,432.0,50.0,10.0,32.0,440.0,108.0,126.0
Kodak P850,2592.0,2048.0,5.0,36.0,432.0,10.0,10.0,32.0,450.0,108.0,146.0
Kodak P880,3264.0,2560.0,8.0,24.0,140.0,10.0,5.0,32.0,570.0,116.0,146.0
Kodak V1003,3648.0,2560.0,10.0,36.0,108.0,60.0,5.0,24.0,185.0,103.0,129.0
Kodak V530,2569.0,2576.0,5.0,36.0,108.0,60.0,7.0,16.0,150.0,92.0,126.0
Kodak V550,2569.0,2576.0,5.0,36.0,108.0,60.0,7.0,32.0,160.0,94.0,126.0
Kodak V570,2569.0,2576.0,5.0,39.0,117.0,0.0,0.0,32.0,175.0,101.0,129.0
Kodak V610,2832.0,2304.0,6.0,38.0,380.0,0.0,0.0,32.0,195.0,111.0,129.0
Kodak V705,3072.0,2576.0,7.0,23.0,117.0,60.0,5.0,32.0,165.0,101.0,126.0
Kodak V803,3264.0,2560.0,8.0,36.0,108.0,60.0,5.0,24.0,185.0,103.0,146.0
Kodak Z1275,4000.0,2832.0,12.0,35.0,175.0,60.0,10.0,64.0,211.0,90.0,129.0
Kodak Z612,2848.0,2304.0,6.0,35.0,420.0,50.0,10.0,32.0,330.0,104.0,129.0
Kodak Z650,2848.0,2304.0,6.0,38.0,380.0,60.0,12.0,32.0,320.0,98.0,126.0
Kodak Z700,2304.0,0.0,4.0,35.0,175.0,60.0,10.0,16.0,270.0,97.0,126.0
Kodak Z710,3072.0,2592.0,7.0,38.0,380.0,60.0,12.0,32.0,360.0,98.0,126.0
Kodak Z712,3072.0,2592.0,7.0,36.0,423.0,60.0,13.0,32.0,350.0,104.0,126.0
Kodak Z730,2576.0,2304.0,5.0,33.0,132.0,50.0,10.0,32.0,270.0,100.0,126.0
Kodak Z740,2576.0,2304.0,5.0,38.0,380.0,60.0,12.0,32.0,330.0,98.0,126.0
Kodak Z7590,2576.0,2576.0,5.0,38.0,380.0,60.0,12.0,32.0,400.0,97.0,126.0
Kodak Z760,2872.0,2856.0,6.0,39.0,117.0,60.0,7.0,32.0,259.0,100.0,126.0
Kodak Z885,3264.0,2592.0,8.0,36.0,180.0,60.0,7.0,32.0,211.0,90.0,146.0
Kyocera Finecam 3300,2048.0,1024.0,3.0,38.0,76.0,60.0,10.0,8.0,240.0,38.0,169.0
Kyocera Finecam L30,2048.0,1024.0,3.0,38.0,115.0,60.0,20.0,16.0,220.0,111.0,169.0
Kyocera Finecam L3V,2048.0,1600.0,3.0,38.0,115.0,60.0,20.0,16.0,220.0,112.0,169.0
Kyocera Finecam L4V,2304.0,1600.0,4.0,35.0,105.0,60.0,20.0,16.0,220.0,112.0,199.0
Kyocera Finecam M400R,2272.0,1600.0,4.0,37.0,370.0,60.0,10.0,0.0,340.0,107.0,169.0
Kyocera Finecam M410R,2272.0,1600.0,4.0,37.0,370.0,60.0,10.0,0.0,340.0,107.0,179.0
Kyocera Finecam S3,2048.0,1024.0,3.0,38.0,76.0,30.0,6.0,16.0,160.0,30.0,1699.0
Kyocera Finecam S3L,2048.0,1600.0,3.0,35.0,105.0,55.0,12.0,16.0,205.0,92.0,1699.0
Kyocera Finecam S3R,2048.0,1600.0,3.0,35.0,105.0,60.0,17.0,16.0,205.0,92.0,1699.0
Kyocera Finecam S3x,2048.0,1024.0,3.0,35.0,105.0,55.0,12.0,16.0,175.0,32.0,1699.0
Kyocera Finecam S4,2272.0,1280.0,3.0,35.0,105.0,55.0,12.0,16.0,175.0,32.0,1699.0
Kyocera Finecam S5,2560.0,1600.0,5.0,35.0,105.0,55.0,12.0,16.0,205.0,92.0,1699.0
Kyocera Finecam S5R,2560.0,1600.0,5.0,35.0,105.0,60.0,17.0,16.0,205.0,92.0,1699.0
Kyocera Finecam SL300R,2048.0,1600.0,3.0,35.0,115.0,60.0,20.0,16.0,175.0,100.0,229.0
Kyocera Finecam SL400R,2272.0,1600.0,3.0,35.0,115.0,60.0,20.0,16.0,155.0,100.0,229.0
Leica C-LUX 1,2816.0,2048.0,6.0,28.0,102.0,50.0,5.0,16.0,155.0,94.0,509.0
Leica Digilux,1280.0,640.0,1.0,35.0,35.0,50.0,9.0,2.0,260.0,80.0,149.0
Leica Digilux 1,2240.0,1600.0,3.0,33.0,100.0,30.0,6.0,32.0,455.0,127.0,249.0
Leica Digilux 2,2560.0,2048.0,4.0,28.0,90.0,30.0,30.0,64.0,705.0,135.0,249.0
Leica Digilux 3,3136.0,2560.0,7.0,0.0,0.0,0.0,0.0,0.0,606.0,146.0,269.0
Leica Digilux 4.3,2400.0,1280.0,2.0,36.0,108.0,80.0,20.0,16.0,280.0,78.0,149.0
Leica Digilux Zoom,1280.0,640.0,1.0,38.0,114.0,80.0,20.0,8.0,270.0,79.0,249.0
Leica D-LUX 2,3840.0,3072.0,8.0,28.0,112.0,50.0,5.0,32.0,220.0,106.0,509.0
Leica D-LUX 3,4224.0,3840.0,10.0,28.0,112.0,50.0,5.0,13.0,220.0,106.0,509.0
Leica M8,3936.0,2952.0,10.0,0.0,0.0,0.0,0.0,0.0,591.0,139.0,146.0
Leica V-LUX 1,3648.0,3264.0,10.0,35.0,420.0,30.0,5.0,32.0,734.0,141.0,509.0
Nikon Coolpix 100,512.0,320.0,0.0,52.0,52.0,23.0,14.0,1.0,200.0,60.0,229.0
Nikon Coolpix 2000,1632.0,1024.0,1.0,38.0,114.0,0.0,0.0,8.0,295.0,108.0,229.0
Nikon Coolpix 2100,1600.0,1024.0,1.0,36.0,108.0,30.0,4.0,8.0,215.0,88.0,99.0
